Dated: 18 Feb, 2020
Author: Satish Patel
87,Scramble String
743,Network Delay Time
310,Minimum Height Trees
1099,Two Sum Less Than K
1071,Greatest Common Divisor of Strings
186,Reverse Words in a String II
1040,Moving Stones Until Consecutive II
515,Find Largest Value in Each Tree Row
731,My Calendar II
195,Tenth Line
181,Employees Earning More Than Their Managers
853,Car Fleet
540,Single Element in a Sorted Array
1221,Split a String in Balanced Strings
1227,Airplane Seat Assignment Probability
661,Image Smoother
632,Smallest Range Covering Elements from K Lists
402,Remove K Digits
1191,K-Concatenation Maximum Sum
1021,Remove Outermost Parentheses
440,K-th Smallest in Lexicographical Order
720,Longest Word in Dictionary
453,Minimum Moves to Equal Array Elements
475,Heaters
100,Same Tree
995,Minimum Number of K Consecutive Bit Flips
952,Largest Component Size by Common Factor
248,Strobogrammatic Number III
259,3Sum Smaller
1106,Parsing A Boolean Expression
709,To Lower Case
549,Binary Tree Longest Consecutive Sequence II
1073,Adding Two Negabinary Numbers
860,Lemonade Change
558,Quad Tree Intersection
1138,Alphabet Board Path
674,Longest Continuous Increasing Subsequence
145,Binary Tree Postorder Traversal
1123,Lowest Common Ancestor of Deepest Leaves
951,Flip Equivalent Binary Trees
681,Next Closest Time
106,Construct Binary Tree from Inorder and Postorder Traversal
1115,Print FooBar Alternately
1058,Minimize Rounding Error to Meet Target
89,Gray Code
265,Paint House II
805,Split Array With Same Average
1139,Largest 1-Bordered Square
967,Numbers With Same Consecutive Differences
825,Friends Of Appropriate Ages
1125,Smallest Sufficient Team
689,Maximum Sum of 3 Non-Overlapping Subarrays
358,Rearrange String k Distance Apart
429,N-ary Tree Level Order Traversal
330,Patching Array
956,Tallest Billboard
338,Counting Bits
174,Dungeon Game
361,Bomb Enemy
936,Stamping The Sequence
255,Verify Preorder Sequence in Binary Search Tree
657,Robot Return to Origin
325,Maximum Size Subarray Sum Equals k
561,Array Partition I
901,Online Stock Span
670,Maximum Swap
441,Arranging Coins
144,Binary Tree Preorder Traversal
725,Split Linked List in Parts
184,Department Highest Salary
996,Number of Squareful Arrays
156,Binary Tree Upside Down
1245,Tree Diameter
260,Single Number III
907,Sum of Subarray Minimums
920,Number of Music Playlists
538,Convert BST to Greater Tree
90,Subsets II
1014,Best Sightseeing Pair
826,Most Profit Assigning Work
839,Similar String Groups
60,Permutation Sequence
258,Add Digits
345,Reverse Vowels of a String
180,Consecutive Numbers
1120,Maximum Average Subtree
554,Brick Wall
701,Insert into a Binary Search Tree
552,Student Attendance Record II
219,Contains Duplicate II
837,New 21 Game
871,Minimum Number of Refueling Stops
327,Count of Range Sum
392,Is Subsequence
1215,Stepping Numbers
856,Score of Parentheses
1019,Next Greater Node In Linked List
185,Department Top Three Salaries
799,Champagne Tower
231,Power of Two
845,Longest Mountain in Array
111,Minimum Depth of Binary Tree
425,Word Squares
818,Race Car
469,Convex Polygon
119,Pascal's Triangle II
601,Human Traffic of Stadium
764,Largest Plus Sign
854,K-Similar Strings
769,Max Chunks To Make Sorted
1028,Recover a Tree From Preorder Traversal
1254,Number of Closed Islands
705,Design HashSet
933,Number of Recent Calls
669,Trim a Binary Search Tree
1171,Remove Zero Sum Consecutive Nodes from Linked List
959,Regions Cut By Slashes
758,Bold Words in String
1201,Ugly Number III
1213,Intersection of Three Sorted Arrays
668,Kth Smallest Number in Multiplication Table
1117,Building H2O
766,Toeplitz Matrix
604,Design Compressed String Iterator
966,Vowel Spellchecker
27,Remove Element
477,Total Hamming Distance
672,Bulb Switcher II
1161,Maximum Level Sum of a Binary Tree
1094,Car Pooling
646,Maximum Length of Pair Chain
817,Linked List Components
644,Maximum Average Subarray II
1266,Minimum Time Visiting All Points
320,Generalized Abbreviation
1017,Convert to Base -2
568,Maximum Vacation Days
690,Employee Importance
982,Triples with Bitwise AND Equal To Zero
673,Number of Longest Increasing Subsequence
213,House Robber II
559,Maximum Depth of N-ary Tree
900,RLE Iterator
832,Flipping an Image
715,Range Module
413,Arithmetic Slices
367,Valid Perfect Square
965,Univalued Binary Tree
671,Second Minimum Node In a Binary Tree
1250,Check If It Is a Good Array
637,Average of Levels in Binary Tree
466,Count The Repetitions
405,Convert a Number to Hexadecimal
1157,Online Majority Element In Subarray
675,Cut Off Trees for Golf Event
653,Two Sum IV - Input is a BST
35,Search Insert Position
968,Binary Tree Cameras
707,Design Linked List
159,Longest Substring with At Most Two Distinct Characters
418,Sentence Screen Fitting
639,Decode Ways II
172,Factorial Trailing Zeroes
1179,Reformat Department Table
461,Hamming Distance
1016,Binary String With Substrings Representing 1 To N
288,Unique Word Abbreviation
774,Minimize Max Distance to Gas Station
356,Line Reflection
1116,Print Zero Even Odd
699,Falling Squares
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold
462,Minimum Moves to Equal Array Elements II
513,Find Bottom Left Tree Value
52,N-Queens II
383,Ransom Note
467,Unique Substrings in Wraparound String
154,Find Minimum in Rotated Sorted Array II
687,Longest Univalue Path
834,Sum of Distances in Tree
1105,Filling Bookcase Shelves
499,The Maze III
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix
929,Unique Email Addresses
1277,Count Square Submatrices with All Ones
1026,Maximum Difference Between Node and Ancestor
943,Find the Shortest Superstring
684,Redundant Connection
1281,Subtract the Product and Sum of Digits of an Integer
950,Reveal Cards In Increasing Order
500,Keyboard Row
486,Predict the Winner
751,IP to CIDR
1001,Grid Illumination
